,Industry,2013
0,"Agriculture, forestry and fishing ",36800
1,Production ,164200
2,Construction ,89300
3,"Wholesale, retail, transport, hotels and food ",345100
4,Information and communication ,26900
5,Finance and insurance activities ,32400
6,Real estate activities ,18000
7,"Professional, scientific and technical activities; administrative and support service activities ",149900
8,"Public administration, defence, education and health ",427000
9,Other service activities ,75500
