"","","Wales ","","Wales "
"","","West Wales and the Valleys ","East Wales ","."
"All industries ","",784200,562500,1346700
"All industries ","Agriculture, forestry and fishing ",24100,12000,36100
"","Production ",92400,66200,158600
"","Construction ",55900,34100,90000
"","Wholesale, retail, transport, hotels and food ",203100,140100,343100
"","Information and communication ",12400,14000,26400
"","Finance and insurance activities ",13700,19600,33200
"","Real estate activities ",9700,8000,17600
"","Professional, scientific and technical activities; administrative and support service activities ",70000,73600,143600
"","Public administration, defence, education and health ",261900,163700,425600
"","Other service activities ",41100,31200,72400


