,Industry,2011
0,"Agriculture, forestry and fishing ",36100
1,Production ,158600
2,Construction ,90000
3,"Wholesale, retail, transport, hotels and food ",343100
4,Information and communication ,26400
5,Finance and insurance activities ,33200
6,Real estate activities ,17600
7,"Professional, scientific and technical activities; administrative and support service activities ",143600
8,"Public administration, defence, education and health ",425600
9,Other service activities ,72400
