"","","Wales ","","Wales "
"","","West Wales and the Valleys ","East Wales ","."
"All industries ","",780900,549500,1330500
"All industries ","Agriculture, forestry and fishing ",25600,12600,38200
"","Production ",86400,63400,149800
"","Construction ",57800,35500,93200
"","Wholesale, retail, transport, hotels and food ",206500,137900,344500
"","Information and communication ",12600,15300,27900
"","Finance and insurance activities ",11600,18200,29800
"","Real estate activities ",8000,6600,14600
"","Professional, scientific and technical activities; administrative and support service activities ",74800,71000,145800
"","Public administration, defence, education and health ",258900,159700,418600
"","Other service activities ",38700,29300,68000


