,Industry,2015
0,"Agriculture, forestry and fishing ",40700
1,Production ,172300
2,Construction ,92600
3,"Wholesale, retail, transport, hotels and food ",357700
4,Information and communication ,24000
5,Finance and insurance activities ,30800
6,Real estate activities ,19100
7,"Professional, scientific and technical activities; administrative and support service activities ",166200
8,"Public administration, defence, education and health ",423200
9,Other service activities ,77200
