"","","Wales ","","Wales "
"","","West Wales and the Valleys ","East Wales ","."
"All industries ","",783400,552900,1336300
"All industries ","Agriculture, forestry and fishing ",25700,12000,37700
"","Production ",90200,66600,156700
"","Construction ",60700,35900,96600
"","Wholesale, retail, transport, hotels and food ",207700,137700,345400
"","Information and communication ",12900,14900,27800
"","Finance and insurance activities ",13900,19800,33800
"","Real estate activities ",7100,6500,13500
"","Professional, scientific and technical activities; administrative and support service activities ",72400,72500,144800
"","Public administration, defence, education and health ",255700,160000,415600
"","Other service activities ",37000,27200,64200


