,Industry,2014
0,"Agriculture, forestry and fishing ",42700
1,Production ,173300
2,Construction ,97000
3,"Wholesale, retail, transport, hotels and food ",337300
4,Information and communication ,35700
5,Finance and insurance activities ,32400
6,Real estate activities ,22200
7,"Professional, scientific and technical activities; administrative and support service activities ",152900
8,"Public administration, defence, education and health ",427600
9,Other service activities ,73300
