,Industry,2016
0,"Agriculture, forestry and fishing ",43200
1,Production ,162500
2,Construction ,102700
3,"Wholesale, retail, transport, hotels and food ",360200
4,Information and communication ,34400
5,Finance and insurance activities ,31000
6,Real estate activities ,22700
7,"Professional, scientific and technical activities; administrative and support service activities ",161200
8,"Public administration, defence, education and health ",418500
9,Other service activities ,72400
