,Industry,2010
0,"Agriculture, forestry and fishing ",38200
1,Production ,149800
2,Construction ,93200
3,"Wholesale, retail, transport, hotels and food ",344500
4,Information and communication ,27900
5,Finance and insurance activities ,29800
6,Real estate activities ,14600
7,"Professional, scientific and technical activities; administrative and support service activities ",145800
8,"Public administration, defence, education and health ",418600
9,Other service activities ,68000
