,Industry,2012
0,"Agriculture, forestry and fishing ",36100
1,Production ,154400
2,Construction ,91300
3,"Wholesale, retail, transport, hotels and food ",347300
4,Information and communication ,27200
5,Finance and insurance activities ,31100
6,Real estate activities ,18800
7,"Professional, scientific and technical activities; administrative and support service activities ",137300
8,"Public administration, defence, education and health ",421000
9,Other service activities ,72800
