,Industry,2018
0,"Agriculture, forestry and fishing ",41100
1,Production ,165700
2,Construction ,101800
3,"Wholesale, retail, transport, hotels and food ",347600
4,Information and communication ,31500
5,Finance and insurance activities ,35500
6,Real estate activities ,25200
7,"Professional, scientific and technical activities; administrative and support service activities ",187100
8,"Public administration, defence, education and health ",434900
9,Other service activities ,81800
