"","","Wales ","","Wales "
"","","West Wales and the Valleys ","East Wales ","."
"All industries ","",815000,588800,1403800
"All industries ","Agriculture, forestry and fishing ",24900,15800,40700
"","Production ",101300,71000,172300
"","Construction ",61100,31500,92600
"","Wholesale, retail, transport, hotels and food ",213700,144000,357700
"","Information and communication ",11600,12300,24000
"","Finance and insurance activities ",11500,19300,30800
"","Real estate activities ",10700,8400,19100
"","Professional, scientific and technical activities; administrative and support service activities ",78900,87400,166200
"","Public administration, defence, education and health ",257700,165400,423200
"","Other service activities ",43500,33600,77200


