"","","Wales ","","Wales "
"","","West Wales and the Valleys ","East Wales ","."
"All industries ","",792000,573100,1365100
"All industries ","Agriculture, forestry and fishing ",23400,13300,36800
"","Production ",94400,69800,164200
"","Construction ",55300,33900,89300
"","Wholesale, retail, transport, hotels and food ",203900,141300,345100
"","Information and communication ",12900,14000,26900
"","Finance and insurance activities ",13200,19200,32400
"","Real estate activities ",10200,7800,18000
"","Professional, scientific and technical activities; administrative and support service activities ",75100,74800,149900
"","Public administration, defence, education and health ",258500,168500,427000
"","Other service activities ",45200,30400,75500


